# step time Ekin Epot Etot T
4950 9.9 536.871 -87.6336 449.238 2.671
4960 9.92 552.667 -103.448 449.219 2.74959
4970 9.94 560.5 -111.29 449.21 2.78856
4980 9.96 555.826 -106.59 449.236 2.7653
4990 9.98 560.182 -110.953 449.229 2.78697
5000 10 568.315 -119.093 449.222 2.82744
5010 10.02 566.727 -117.504 449.223 2.81954
5020 10.04 556.176 -106.939 449.237 2.76704
5030 10.06 554.299 -105.061 449.238 2.75771
5040 10.08 563.251 -114.025 449.226 2.80224
5050 10.1 568.623 -119.399 449.224 2.82897
5060 10.12 563.966 -114.739 449.227 2.8058
5070 10.14 556.998 -107.767 449.231 2.77113
5080 10.16 553.846 -104.618 449.228 2.75545
5090 10.18 554.589 -105.354 449.236 2.75915
5100 10.2 566.156 -116.936 449.22 2.8167
5110 10.22 569.352 -120.136 449.216 2.8326
5120 10.24 558.746 -109.523 449.223 2.77983
5130 10.26 543.484 -94.2557 449.228 2.7039
5140 10.28 543.856 -94.649 449.208 2.70575
5150 10.3 550.12 -100.895 449.225 2.73692
5160 10.32 562.424 -113.199 449.224 2.79813
5170 10.34 572.986 -123.773 449.213 2.85068
5180 10.36 565.661 -116.446 449.215 2.81423
5190 10.38 561.107 -111.871 449.236 2.79158
5200 10.4 574.45 -125.235 449.216 2.85796
5210 10.42 572.772 -123.554 449.219 2.84961
5220 10.44 563.885 -114.645 449.24 2.8054
5230 10.46 569.131 -119.904 449.227 2.8315
5240 10.48 574.087 -124.864 449.222 2.85615
5250 10.5 574.014 -124.783 449.231 2.85579
5260 10.52 573.21 -123.991 449.219 2.85179
5270 10.54 563.042 -113.814 449.228 2.80121
5280 10.56 555.271 -106.037 449.234 2.76254
5290 10.58 559.656 -110.419 449.237 2.78436
5300 10.6 573.876 -124.672 449.204 2.85511
5310 10.62 563.012 -113.779 449.233 2.80106
5320 10.64 559.424 -110.194 449.23 2.7832
5330 10.66 566.662 -117.44 449.222 2.81922
5340 10.68 567.224 -117.994 449.229 2.82201
5350 10.7 566.922 -117.695 449.227 2.82051
5360 10.72 565.893 -116.658 449.235 2.81539
5370 10.74 573.027 -123.802 449.225 2.85088
5380 10.76 577.761 -128.541 449.221 2.87443
5390 10.78 566.413 -117.184 449.229 2.81797
5400 10.8 555.4 -106.158 449.242 2.76318
5410 10.82 559.802 -110.576 449.226 2.78508
5420 10.84 561.469 -112.247 449.221 2.79338
5430 10.86 554.951 -105.717 449.234 2.76095
5440 10.88 552.606 -103.387 449.219 2.74929
5450 10.9 551.999 -102.765 449.234 2.74626
5460 10.92 561.163 -111.946 449.217 2.79186
5470 10.94 556.728 -107.518 449.21 2.76979
5480 10.96 536.238 -86.9931 449.245 2.66785
5490 10.98 540.536 -91.3133 449.223 2.68923
5500 11 550.746 -101.525 449.221 2.74003
5510 11.02 557.087 -107.856 449.23 2.77158
5520 11.04 562.044 -112.835 449.209 2.79624
5530 11.06 544.995 -95.7647 449.231 2.71142
5540 11.08 537.325 -88.0881 449.237 2.67326
5550 11.1 551.112 -101.903 449.209 2.74185
5560 11.12 551.89 -102.657 449.233 2.74572
