# it time Tinst Tset
6190 12.38 0.925786 0.988992
6200 12.4 0.981814 0.984034
6210 12.42 1.02095 0.984034
6220 12.44 1.0011 0.979076
6230 12.46 0.960428 0.979076
6240 12.48 0.943753 0.974118
6250 12.5 0.949481 0.974118
6260 12.52 0.967617 0.96916
6270 12.54 0.999825 0.96916
6280 12.56 0.994614 0.964202
6290 12.58 0.942377 0.964202
6300 12.6 0.920921 0.959244
6310 12.62 0.946546 0.959244
6320 12.64 0.971994 0.954286
6330 12.66 0.960572 0.954286
6340 12.68 0.931937 0.949328
6350 12.7 0.927096 0.949328
6360 12.72 0.953787 0.94437
6370 12.74 0.962474 0.94437
6380 12.76 0.936266 0.939412
6390 12.78 0.924173 0.939412
6400 12.8 0.928499 0.934454
6410 12.82 0.922195 0.934454
6420 12.84 0.928335 0.929496
6430 12.86 0.936255 0.929496
6440 12.88 0.927831 0.924538
6450 12.9 0.910718 0.924538
6460 12.92 0.907686 0.91958
6470 12.94 0.924572 0.91958
6480 12.96 0.939625 0.914622
6490 12.98 0.91851 0.914622
6500 13 0.877873 0.909664
6510 13.02 0.867908 0.909664
6520 13.04 0.897277 0.904706
6530 13.06 0.916756 0.904706
6540 13.08 0.911621 0.899748
6550 13.1 0.917017 0.899748
6560 13.12 0.908379 0.89479
6570 13.14 0.882162 0.89479
6580 13.16 0.867192 0.889832
6590 13.18 0.868776 0.889832
6600 13.2 0.885239 0.884874
6610 13.22 0.89807 0.884874
6620 13.24 0.885121 0.879916
6630 13.26 0.863587 0.879916
6640 13.28 0.857262 0.874958
6650 13.3 0.859245 0.874958
6660 13.32 0.870097 0.87
6670 13.34 0.892016 0.87
6680 13.36 0.88628 0.865042
6690 13.38 0.844509 0.865042
6700 13.4 0.824997 0.860084
6710 13.42 0.852592 0.860084
6720 13.44 0.884446 0.855126
6730 13.46 0.86694 0.855126
6740 13.48 0.825562 0.850168
6750 13.5 0.829888 0.850168
6760 13.52 0.863907 0.84521
6770 13.54 0.859687 0.84521
6780 13.56 0.826574 0.840252
6790 13.58 0.816281 0.840252
6800 13.6 0.831391 0.835294
6810 13.62 0.839424 0.835294
6820 13.64 0.8289 0.830336
6830 13.66 0.824308 0.830336
6840 13.68 0.828123 0.825378
6850 13.7 0.825915 0.825378
6860 13.72 0.813953 0.82042
6870 13.74 0.80712 0.82042
6880 13.76 0.813114 0.815462
6890 13.78 0.813286 0.815462
6900 13.8 0.80748 0.810504
6910 13.82 0.821438 0.810504
6920 13.84 0.821065 0.805546
6930 13.86 0.788397 0.805546
6940 13.88 0.775726 0.800588
6950 13.9 0.806371 0.800588
6960 13.92 0.814688 0.79563
6970 13.94 0.783957 0.79563
6980 13.96 0.757545 0.790672
6990 13.98 0.770409 0.790672
7000 14 0.805026 0.785714
7010 14.02 0.813327 0.785714
7020 14.04 0.788376 0.780756
7030 14.06 0.759327 0.780756
7040 14.08 0.75268 0.775798
7050 14.1 0.768976 0.775798
7060 14.12 0.782673 0.77084
7070 14.14 0.775925 0.77084
7080 14.16 0.754995 0.765882
7090 14.18 0.740737 0.765882
7100 14.2 0.775919 0.760924
7110 14.22 0.796683 0.760924
7120 14.24 0.765132 0.755966
7130 14.26 0.715503 0.755966
7140 14.28 0.696852 0.751008
7150 14.3 0.744777 0.751008
7160 14.32 0.812032 0.74605
7170 14.34 0.789242 0.74605
7180 14.36 0.709263 0.741092
7190 14.38 0.672258 0.741092
7200 14.4 0.709437 0.736134
7210 14.42 0.772488 0.736134
7220 14.44 0.785364 0.731176
7230 14.46 0.729842 0.731176
7240 14.48 0.682433 0.726218
7250 14.5 0.696664 0.726218
7260 14.52 0.723426 0.721261
7270 14.54 0.73189 0.721261
7280 14.56 0.734005 0.716303
7290 14.58 0.73 0.716303
7300 14.6 0.702444 0.711345
7310 14.62 0.678541 0.711345
7320 14.64 0.688306 0.706387
7330 14.66 0.719834 0.706387
7340 14.68 0.732824 0.701429
7350 14.7 0.706763 0.701429
7360 14.72 0.672151 0.696471
7370 14.74 0.662252 0.696471
7380 14.76 0.68381 0.691513
7390 14.78 0.712343 0.691513
7400 14.8 0.709491 0.686555
7410 14.82 0.675847 0.686555
7420 14.84 0.658947 0.681597
7430 14.86 0.665789 0.681597
7440 14.88 0.688997 0.676639
7450 14.9 0.703315 0.676639
7460 14.92 0.685786 0.671681
7470 14.94 0.644567 0.671681
7480 14.96 0.623266 0.666723
7490 14.98 0.646249 0.666723
7500 15 0.687759 0.661765
7510 15.02 0.697165 0.661765
7520 15.04 0.66612 0.656807
7530 15.06 0.629266 0.656807
7540 15.08 0.624353 0.651849
7550 15.1 0.651412 0.651849
7560 15.12 0.677405 0.646891
7570 15.14 0.671029 0.646891
7580 15.16 0.632793 0.641933
7590 15.18 0.598237 0.641933
7600 15.2 0.605272 0.636975
7610 15.22 0.63499 0.636975
7620 15.24 0.655736 0.632017
7630 15.26 0.652766 0.632017
7640 15.28 0.633832 0.627059
7650 15.3 0.617461 0.627059
7660 15.32 0.607463 0.622101
7670 15.34 0.604819 0.622101
7680 15.36 0.615342 0.617143
7690 15.38 0.629888 0.617143
7700 15.4 0.63241 0.612185
7710 15.42 0.616529 0.612185
7720 15.44 0.595339 0.607227
7730 15.46 0.581884 0.607227
7740 15.48 0.582678 0.602269
7750 15.5 0.592944 0.602269
7760 15.52 0.601029 0.597311
7770 15.54 0.605157 0.597311
7780 15.56 0.607177 0.592353
7790 15.58 0.603943 0.592353
7800 15.6 0.602383 0.587395
7810 15.62 0.591901 0.587395
