# t   T_sensor   E_supplied   E_window
8530  292.832  550  6.09397
8540  292.832  550  6.09398
8550  292.832  550  6.09399
8560  292.832  550  6.09401
8570  292.832  550  6.09402
8580  292.832  550  6.09403
8590  292.832  550  6.09404
8600  292.832  550  6.09405
8610  292.832  550  6.09406
8620  292.832  550  6.09407
8630  292.832  550  6.09408
8640  292.832  550  6.09409
8650  292.832  550  6.0941
8660  292.832  550  6.09411
8670  292.832  550  6.09412
8680  292.832  550  6.09413
8690  292.832  550  6.09414
8700  292.832  550  6.09415
8710  292.832  550  6.09416
8720  292.832  550  6.09417
8730  292.832  550  6.09418
8740  292.832  550  6.09419
8750  292.832  550  6.0942
8760  292.833  550  6.0942
8770  292.833  550  6.09421
8780  292.833  550  6.09422
8790  292.833  550  6.09423
8800  292.833  550  6.09424
8810  292.833  550  6.09425
8820  292.833  550  6.09426
8830  292.833  550  6.09426
8840  292.833  550  6.09427
8850  292.833  550  6.09428
8860  292.833  550  6.09429
8870  292.833  550  6.0943
8880  292.833  550  6.0943
8890  292.833  550  6.09431
8900  292.833  550  6.09432
8910  292.833  550  6.09433
8920  292.833  550  6.09434
8930  292.833  550  6.09434
8940  292.833  550  6.09435
8950  292.833  550  6.09436
8960  292.833  550  6.09436
8970  292.833  550  6.09437
8980  292.833  550  6.09438
8990  292.833  550  6.09439
9000  292.833  550  6.09439
9010  292.833  550  6.0944
9020  292.833  550  6.09441
9030  292.833  550  6.09441
9040  292.833  550  6.09442
9050  292.833  550  6.09443
9060  292.833  550  6.09443
9070  292.833  550  6.09444
9080  292.833  550  6.09445
9090  292.833  550  6.09445
9100  292.834  550  6.09446
9110  292.834  550  6.09446
9120  292.834  550  6.09447
9130  292.834  550  6.09448
9140  292.834  550  6.09448
9150  292.834  550  6.09449
9160  292.834  550  6.09449
9170  292.834  550  6.0945
9180  292.834  550  6.09451
9190  292.834  550  6.09451
9200  292.834  550  6.09452
9210  292.834  550  6.09452
9220  292.834  550  6.09453
9230  292.834  550  6.09453
9240  292.834  550  6.09454
9250  292.834  550  6.09454
9260  292.834  550  6.09455
9270  292.834  550  6.09455
9280  292.834  550  6.09456
9290  292.834  550  6.09457
9300  292.834  550  6.09457
9310  292.834  550  6.09458
9320  292.834  550  6.09458
9330  292.834  550  6.09458
9340  292.834  550  6.09459
9350  292.834  550  6.09459
9360  292.834  550  6.0946
9370  292.834  550  6.0946
9380  292.834  550  6.09461
9390  292.834  550  6.09461
9400  292.834  550  6.09462
9410  292.834  550  6.09462
9420  292.834  550  6.09463
9430  292.834  550  6.09463
9440  292.834  550  6.09463
9450  292.834  550  6.09464
9460  292.834  550  6.09464
9470  292.834  550  6.09465
9480  292.834  550  6.09465
9490  292.834  550  6.09466
9500  292.834  550  6.09466
9510  292.834  550  6.09466
9520  292.834  550  6.09467
