t,I,st,difference,relative_difference,center,max_u
435.75,4.35750000000582,4.3575,5.81756864903582e-12,1.33507025795429e-12,0.00806291831520665,0.00806291831520665
435.875,4.35875000000587,4.35875,5.87174753263753e-12,1.34711730028965e-12,0.00806316054681658,0.00806316054681658
436,4.36000000000591,4.36,5.91171556152403e-12,1.35589806456973e-12,0.00806340272554114,0.00806340272554114
436.125,4.36125000000587,4.36125,5.87085935421783e-12,1.3461414397748e-12,0.00806364485142104,0.00806364485142104
436.25,4.3625000000059,4.3625,5.90372195574673e-12,1.3532887004577e-12,0.00806388692449697,0.00806388692449697
436.375,4.3637500000059,4.36375,5.90283377732703e-12,1.35269751413968e-12,0.00806412894480956,0.00806412894480956
436.5,4.36500000000595,4.365,5.95257176883024e-12,1.36370487258425e-12,0.00806437091239941,0.00806437091239941
436.625,4.36625000000596,4.36625,5.96234173144694e-12,1.36555207133053e-12,0.0080646128273071,0.0080646128273071
436.75,4.36750000000598,4.3675,5.97832894300154e-12,1.36882173852354e-12,0.00806485468957314,0.00806485468957314
436.875,4.36875000000605,4.36875,6.04583050289875e-12,1.38388108793104e-12,0.00806509649923805,0.00806509649923805
437,4.37000000000603,4.37,6.03339600502295e-12,1.38063981808306e-12,0.00806533825634226,0.00806533825634226
437.125,4.37125000000602,4.37125,6.01740879346835e-12,1.37658765649834e-12,0.00806557996092621,0.00806557996092621
437.25,4.37250000000602,4.3725,6.01563243662895e-12,1.37578786429478e-12,0.00806582161303028,0.00806582161303028
437.375,4.37375000000609,4.37375,6.09023942388376e-12,1.3924525690503e-12,0.00806606321269481,0.00806606321269481
437.5,4.37500000000609,4.375,6.08846306704436e-12,1.39164870103871e-12,0.00806630475996013,0.00806630475996013
437.625,4.37625000000608,4.37625,6.08313399652616e-12,1.39003347535588e-12,0.0080665462548665,0.0080665462548665
437.75,4.37750000000612,4.3775,6.11954931173386e-12,1.39795529679814e-12,0.00806678769745416,0.00806678769745416
437.875,4.37875000000621,4.37875,6.20570261844477e-12,1.41723154289347e-12,0.00806702908776332,0.00806702908776332
438,4.38000000000616,4.38,6.16484641113857e-12,1.40749918062524e-12,0.00806727042583415,0.00806727042583415
438.125,4.38125000000621,4.38125,6.21280804580238e-12,1.4180446324228e-12,0.00806751171170677,0.00806751171170677
438.25,4.38250000000622,4.3825,6.21547258106148e-12,1.418248164532e-12,0.00806775294542129,0.00806775294542129
438.375,4.38375000000625,4.38375,6.25011153942978e-12,1.42574543243337e-12,0.00806799412701775,0.00806799412701775
438.5,4.38500000000626,4.385,6.25721696678738e-12,1.42695939949541e-12,0.00806823525653619,0.00806823525653619
438.625,4.38625000000629,4.38625,6.29452046041479e-12,1.43505738624447e-12,0.00806847633401659,0.00806847633401659
438.75,4.38750000000628,4.3875,6.27586871360108e-12,1.43039742760139e-12,0.0080687173594989,0.0080687173594989
438.875,4.38875000000627,4.38875,6.26876328624348e-12,1.42837101366983e-12,0.00806895833302304,0.00806895833302304
439,4.39000000000632,4.39,6.31850127774669e-12,1.43929414071679e-12,0.00806919925462888,0.00806919925462888
439.125,4.39125000000636,4.39125,6.3566929497938e-12,1.44758165665671e-12,0.00806944012435628,0.00806944012435628
439.25,4.39250000000631,4.3925,6.30961949354969e-12,1.43645292966413e-12,0.00806968094224504,0.00806968094224504
439.375,4.39375000000637,4.39375,6.3664629124105e-12,1.4489816016866e-12,0.00806992170833492,0.00806992170833492
439.5,4.39500000000641,4.395,6.4144245470743e-12,1.4594822632706e-12,0.00807016242266568,0.00807016242266568
439.625,4.39625000000643,4.39625,6.42597086653041e-12,1.46169368587555e-12,0.00807040308527701,0.00807040308527701
439.75,4.39750000000647,4.3975,6.47393250119421e-12,1.47218476434206e-12,0.00807064369620857,0.00807064369620857
439.875,4.39875000000644,4.39875,6.44195807808501e-12,1.46449743178971e-12,0.00807088425549999,0.00807088425549999
440,4.40000000000653,4.4,6.53077592005502e-12,1.48426725455796e-12,0.00807112476319088,0.00807112476319088
440.125,4.4012500000065,4.40125,6.49880149694582e-12,1.47658085701694e-12,0.00807136521932078,0.00807136521932078
440.25,4.40250000000649,4.4025,6.49258424800792e-12,1.47474940329538e-12,0.00807160562392922,0.00807160562392922
440.375,4.40375000000653,4.40375,6.53344045531412e-12,1.48360839178294e-12,0.0080718459770557,0.0080718459770557
440.5,4.40500000000658,4.405,6.57962573313853e-12,1.4936721301109e-12,0.00807208627873965,0.00807208627873965
440.625,4.40625000000657,4.40625,6.56896759210213e-12,1.49082952444871e-12,0.00807232652902051,0.00807232652902051
440.75,4.40750000000664,4.4075,6.64002186567814e-12,1.50652793322249e-12,0.00807256672793764,0.00807256672793764
440.875,4.40875000000666,4.40875,6.66400268301004e-12,1.51154016059201e-12,0.00807280687553041,0.00807280687553041
441,4.41000000000667,4.41,6.67377264562674e-12,1.51332713052761e-12,0.00807304697183811,0.00807304697183811
441.125,4.41125000000671,4.41125,6.70574706873595e-12,1.52014668602685e-12,0.00807328701690003,0.00807328701690003
441.25,4.41250000000672,4.4125,6.72262245871025e-12,1.52354050055756e-12,0.00807352701075541,0.00807352701075541
441.375,4.41375000000676,4.41375,6.75548506023915e-12,1.53055453078202e-12,0.00807376695344345,0.00807376695344345
441.5,4.4150000000067,4.415,6.69952981979804e-12,1.5174472978025e-12,0.00807400684500333,0.00807400684500333
441.625,4.41625000000677,4.41625,6.77147227179375e-12,1.53330818495188e-12,0.00807424668547418,0.00807424668547418
441.75,4.41750000000676,4.4175,6.76259048759675e-12,1.53086372101794e-12,0.0080744864748951,0.0080744864748951
441.875,4.41875000000675,4.41875,6.75104416814065e-12,1.52781763352547e-12,0.00807472621330515,0.00807472621330515
442,4.42000000000682,4.42,6.81676937119846e-12,1.54225551384581e-12,0.00807496590074338,0.00807496590074338
442.125,4.42125000000684,4.42125,6.84430290220917e-12,1.54804702340043e-12,0.00807520553724876,0.00807520553724876
442.25,4.42250000000685,4.4225,6.84874379430767e-12,1.5486136335348e-12,0.00807544512286028,0.00807544512286028
442.375,4.42375000000687,4.42375,6.86561918428197e-12,1.55199077350256e-12,0.00807568465761685,0.00807568465761685
442.5,4.42500000000692,4.425,6.91890988946398e-12,1.5635954552461e-12,0.00807592414155736,0.00807592414155736
442.625,4.4262500000069,4.42625,6.90292267790937e-12,1.5595419775e-12,0.00807616357472067,0.00807616357472067
442.75,4.42750000000692,4.4275,6.91713353262458e-12,1.56231135688867e-12,0.00807640295714561,0.00807640295714561
442.875,4.42875000000695,4.42875,6.94999613415348e-12,1.56929068792627e-12,0.00807664228887095,0.00807664228887095
443,4.43000000000694,4.43,6.94111434995648e-12,1.56684296838747e-12,0.00807688156993546,0.00807688156993546
443.125,4.43125000000701,4.43125,7.00950408827339e-12,1.58183449100669e-12,0.00807712080037786,0.00807712080037786
443.25,4.43250000000705,4.4325,7.04680758190079e-12,1.58980430499736e-12,0.00807735998023681,0.00807735998023681
443.375,4.43375000000704,4.43375,7.04236668980229e-12,1.58835448318067e-12,0.00807759910955099,0.00807759910955099
443.5,4.43500000000705,4.435,7.05213665241899e-12,1.59010972997046e-12,0.00807783818835899,0.00807783818835899
443.625,4.43625000000707,4.43625,7.0725647560721e-12,1.5942664989737e-12,0.0080780772166994,0.0080780772166994
443.75,4.43750000000716,4.4375,7.16493531172091e-12,1.61463330968359e-12,0.00807831619461077,0.00807831619461077
443.875,4.43875000000711,4.43875,7.114309141798e-12,1.60277310995168e-12,0.00807855512213161,0.00807855512213161
444,4.4400000000072,4.44,7.19602155641041e-12,1.62072557576811e-12,0.00807879399930039,0.00807879399930039
444.125,4.44125000000719,4.44125,7.19335702115131e-12,1.61966946718859e-12,0.00807903282615556,0.00807903282615556
444.25,4.44250000000719,4.4425,7.18536341537401e-12,1.61741438725358e-12,0.00807927160273552,0.00807927160273552
444.375,4.44375000000722,4.44375,7.21467330322412e-12,1.62355517372132e-12,0.00807951032907865,0.00807951032907865
444.5,4.44500000000725,4.445,7.25020044001212e-12,1.63109121260115e-12,0.00807974900522329,0.00807974900522329
444.625,4.44625000000731,4.44625,7.30970839413203e-12,1.64401650697375e-12,0.00807998763120775,0.00807998763120775
444.75,4.44750000000726,4.4475,7.25997040262882e-12,1.63237108547022e-12,0.0080802262070703,0.0080802262070703
444.875,4.44875000000727,4.44875,7.26707582998642e-12,1.6335095993226e-12,0.00808046473284917,0.00808046473284917
445,4.45000000000736,4.45,7.36033456405494e-12,1.65400776720336e-12,0.00808070320858257,0.00808070320858257
445.125,4.45125000000738,4.45125,7.37632177560954e-12,1.65713491167864e-12,0.00808094163430867,0.00808094163430867
445.25,4.45250000000737,4.4525,7.36655181299284e-12,1.65447542122242e-12,0.0080811800100656,0.0080811800100656
445.375,4.45375000000743,4.45375,7.42694794553245e-12,1.66757180926914e-12,0.00808141833589147,0.00808141833589147
445.5,4.45500000000744,4.455,7.44471151392645e-12,1.67109124891727e-12,0.00808165661182434,0.00808165661182434
445.625,4.45625000000746,4.45625,7.45892236864165e-12,1.67381147122393e-12,0.00808189483790224,0.00808189483790224
445.75,4.45750000000755,4.4575,7.54507567535256e-12,1.69266980938925e-12,0.00808213301416318,0.00808213301416318
445.875,4.45875000000749,4.45875,7.49178497017056e-12,1.68024333505367e-12,0.00808237114064513,0.00808237114064513
446,4.46000000000752,4.46,7.51843032276156e-12,1.68574670913936e-12,0.00808260921738601,0.00808260921738601
446.125,4.46125000000753,4.46125,7.53086482063736e-12,1.68806160171193e-12,0.00808284724442372,0.00808284724442372
446.25,4.46250000000759,4.4625,7.58770823949817e-12,1.70032677635813e-12,0.00808308522179614,0.00808308522179614
