t,energy,center,max_abs_u
26.14375,5.87342267308821e-09,5.35101269602117e-05,5.35101269602117e-05
26.15,5.99484057454168e-09,5.65196426877759e-05,5.65196426877759e-05
26.15625,6.122212750315e-09,5.95073690890913e-05,5.95073690890913e-05
26.1625,6.25534280033627e-09,6.24721542428936e-05,6.24721542428936e-05
26.16875,6.39402544812459e-09,6.54128551902876e-05,6.54128551902876e-05
26.175,6.53804685750639e-09,6.83283383373522e-05,6.83283383373522e-05
26.18125,6.68718495967097e-09,7.12174797629588e-05,7.12174797629588e-05
26.1875,6.84120979276345e-09,7.40791655911507e-05,7.40791655911507e-05
26.19375,6.99988385700487e-09,7.69122924661684e-05,7.69122924661684e-05
26.2,7.16296248451506e-09,7.97157680715832e-05,7.97157680715832e-05
26.20625,7.33019421914966e-09,8.24885116214646e-05,8.24885116214646e-05
26.2125,7.50132120293218e-09,8.52294542512977e-05,8.52294542512977e-05
26.21875,7.67607957051616e-09,8.7937539313959e-05,8.7937539313959e-05
26.225,7.85419985508178e-09,9.06117227227429e-05,9.06117227227429e-05
26.23125,8.0354074057603e-09,9.3250973442212e-05,9.3250973442212e-05
26.2375,8.21942281303218e-09,9.58542739995677e-05,9.58542739995677e-05
26.24375,8.40596233937311e-09,9.8420620843069e-05,9.8420620843069e-05
26.25,8.59473835563013e-09,0.000100949024617884,0.000100949024617884
26.25625,8.78545978421318e-09,0.000103438510547274,0.000103438510547274
26.2625,8.97783254817139e-09,0.000105888118892468,0.000105888118892468
26.26875,9.17156002452063e-09,0.000108296905321424,0.000108296905321424
26.275,9.36634350152295e-09,0.00011066394120553,0.00011066394120553
26.28125,9.56188263981358e-09,0.000112988314002457,0.000112988314002457
26.2875,9.75787593567306e-09,0.000115269127688901,0.000115269127688901
26.29375,9.95402118452624e-09,0.000117505503061676,0.000117505503061676
26.3,1.01500159449585e-08,0.000119696577943831,0.000119696577943831
26.30625,1.03455580047037e-08,0.000121841507519611,0.000121841507519611
26.3125,1.05403458482063e-08,0.000123939464805369,0.000123939464805369
26.31875,1.07340791233448e-08,0.000125989641023075,0.000125989641023075
26.325,1.0926459105397e-08,0.000127991245815367,0.000127991245815367
26.33125,1.11171891576774e-08,0.000129943507498783,0.000129943507498783
26.3375,1.13059751883952e-08,0.000131845673427423,0.000131845673427423
26.34375,1.14925261032885e-08,0.000133697010304005,0.000133697010304005
26.35,1.167655425443e-08,0.000135496804390893,0.000135496804390893
26.35625,1.18577758850589e-08,0.000137244361790848,0.000137244361790848
26.3625,1.2035911567776e-08,0.000138939008824183,0.000138939008824183
26.36875,1.22106866330974e-08,0.000140580092285643,0.000140580092285643
26.375,1.23818315894518e-08,0.000142166979528583,0.000142166979528583
26.38125,1.25490825387641e-08,0.000143699058641701,0.000143699058641701
26.3875,1.27121815880828e-08,0.000145175738856474,0.000145175738856474
26.39375,1.28708772514919e-08,0.000146596450932441,0.000146596450932441
26.4,1.30249248368279e-08,0.000147960647288276,0.000147960647288276
26.40625,1.31740868184575e-08,0.000149267802041907,0.000149267802041907
26.4125,1.33181332011394e-08,0.000150517411217582,0.000150517411217582
26.41875,1.34568418761959e-08,0.000151708993056932,0.000151708993056932
26.425,1.35899989662171e-08,0.000152842088221835,0.000152842088221835
26.43125,1.37173991549117e-08,0.000153916259903725,0.000153916259903725
26.4375,1.38388460022605e-08,0.000154931093989232,0.000154931093989232
26.44375,1.39541522463141e-08,0.000155886199260723,0.000155886199260723
26.45,1.40631400917014e-08,0.000156781207514768,0.000156781207514768
26.45625,1.41656414842884e-08,0.000157615773648933,0.000157615773648933
26.4625,1.4261498371444e-08,0.00015838957584516,0.00015838957584516
26.46875,1.43505629465691e-08,0.000159102315789462,0.000159102315789462
26.475,1.44326978762872e-08,0.000159753718764195,0.000159753718764195
26.48125,1.45077765106902e-08,0.000160343533639202,0.000160343533639202
26.4875,1.45756830788609e-08,0.000160871532941317,0.000160871532941317
26.49375,1.46363128701309e-08,0.000161337513037141,0.000161337513037141
26.5,1.46895723980966e-08,0.000161741294283725,0.000161741294283725
26.50625,1.47353795442687e-08,0.000162082721071241,0.000162082721071241
26.5125,1.47736636817321e-08,0.000162361661832387,0.000162361661832387
26.51875,1.48043657816363e-08,0.000162578009074172,0.000162578009074172
26.525,1.48274385040096e-08,0.000162731679401791,0.000162731679401791
26.53125,1.4842846271937e-08,0.000162822613534777,0.000162822613534777
26.5375,1.48505653275571e-08,0.000162850776364835,0.000162850776364835
26.54375,1.48505837692046e-08,0.000162816157033778,0.000162816157033778
