t,min_u,max_u,mass,center_x,center_y,shape_error
3.02,0.00074962401682171,0.287031417457924,1.57079393714644,2.5,2.5,0.625191768958481
3.04,0.000772750889929317,0.285714845611265,1.57079393714644,2.5,2.5,0.62672230980957
3.06,0.000796340506770148,0.284410337278186,1.57079393714644,2.5,2.5,0.628240786273227
3.08,0.000820395725091941,0.283117726974936,1.57079393714644,2.5,2.5,0.629747350514238
3.1,0.000844919310839231,0.28183685224504,1.57079393714644,2.5,2.5,0.631242152126774
3.12,0.000869913937970456,0.280567553590368,1.57079393714644,2.5,2.5,0.632725338186827
3.14,0.000895382188329676,0.27930967440409,1.57079393714644,2.5,2.5,0.634197053303369
3.16,0.00092132655157148,0.278063060905452,1.57079393714644,2.5,2.5,0.635657439668269
3.18,0.000947749425137663,0.27682756207632,1.57079393714644,2.5,2.5,0.637106637105018
3.2,0.000974653114284214,0.275603029599431,1.57079393714644,2.5,2.5,0.638544783116276
3.22,0.00100203983215721,0.274389317798306,1.57079393714644,2.5,2.5,0.639972012930293
3.24,0.00102991169991617,0.273186283578765,1.57079393714644,2.5,2.5,0.641388459546232
3.26,0.00105827074690346,0.271993786371994,1.57079393714644,2.5,2.5,0.642794253778408
3.28,0.0010871189108583,0.270811688079125,1.57079393714644,2.5,2.5,0.644189524299503
3.3,0.00111645803817399,0.269639853017273,1.57079393714644,2.5,2.5,0.645574397682764
3.32,0.00114628988419692,0.268478147866983,1.57079393714644,2.5,2.5,0.64694899844322
3.34,0.00117661611356601,0.267326441621061,1.57079393714644,2.5,2.5,0.648313449077937
3.36,0.0012074383005912,0.266184605534721,1.57079393714644,2.5,2.5,0.649667870105361
3.38,0.00123875792966952,0.265052513077032,1.57079393714644,2.5,2.5,0.651012380103745
3.4,0.00127057639573755,0.263930039883615,1.57079393714644,2.5,2.5,0.652347095748697
3.42,0.0013028950047588,0.262817063710545,1.57079393714644,2.5,2.5,0.653672131849879
3.44,0.00133571497424474,0.261713464389443,1.57079393714644,2.5,2.5,0.654987601386887
3.46,0.00136903743380817,0.260619123783693,1.57079393714644,2.5,2.5,0.656293615544287
3.48,0.00140286342574764,0.259533925745788,1.57079393714644,2.5,2.5,0.657590283745905
3.5,0.00143719390566163,0.258457756075728,1.57079393714644,2.5,2.5,0.658877713688323
3.52,0.00147202974309129,0.257390502480481,1.57079393714644,2.5,2.5,0.66015601137364
3.54,0.00150737172219041,0.256332054534448,1.57079393714644,2.5,2.5,0.661425281141508
3.56,0.0015432205424216,0.255282303640908,1.57079393714644,2.5,2.5,0.662685625700455
3.58,0.0015795768192772,0.254241142994427,1.57079393714644,2.5,2.5,0.663937146158526
3.6,0.00161644108502409,0.253208467544188,1.57079393714644,2.5,2.5,0.665179942053244
3.62,0.00165381378947092,0.252184173958221,1.57079393714644,2.5,2.5,0.66641411138093
3.64,0.00169169530075698,0.251168160588513,1.57079393714644,2.5,2.5,0.667639750625379
3.66,0.00173008590616122,0.250160327436959,1.57079393714644,2.5,2.5,0.668856954785913
3.68,0.00176898581293077,0.24916057612215,1.57079393714644,2.5,2.5,0.670065817404838
3.7,0.00180839514912749,0.24816880984695,1.57079393714644,2.5,2.5,0.671266430594304
3.72,0.00184831396449182,0.247184933366865,1.57079393714644,2.5,2.5,0.672458885062597
3.74,0.00188874223132282,0.246208852959157,1.57079393714644,2.5,2.5,0.673643270139862
3.76,0.00192967984537331,0.245240476392708,1.57079393714644,2.5,2.5,0.674819673803294
3.78,0.00197112662675935,0.244279712898584,1.57079393714644,2.5,2.5,0.675988182701788
3.8,0.00201308232088294,0.243326473141311,1.57079393714644,2.5,2.5,0.677148882180059
3.82,0.00205554659936711,0.242380669190815,1.57079393714644,2.5,2.5,0.678301856302285
3.84,0.0020985190610025,0.241442214495027,1.57079393714644,2.5,2.5,0.679447187875225
3.86,0.00214199923270455,0.240511023853124,1.57079393714644,2.5,2.5,0.680584958470875
3.88,0.00218598657048039,0.239587013389396,1.57079393714644,2.5,2.5,0.681715248448641
3.9,0.0022304804604048,0.238670100527717,1.57079393714644,2.5,2.5,0.68283813697707
3.92,0.00227548021960415,0.237760203966601,1.57079393714644,2.5,2.5,0.68395370205511
3.94,0.00232098509724778,0.236857243654839,1.57079393714643,2.5,2.5,0.685062020532956
3.96,0.00236699427554594,0.235961140767686,1.57079393714644,2.5,2.5,0.686163168132452
3.98,0.00241350687075361,0.235071817683599,1.57079393714643,2.5,2.5,0.687257219467084
4,0.00246052193417947,0.234189197961494,1.57079393714643,2.5,2.5,0.688344248061568
4.02,0.00250803845319924,0.233313206318523,1.57079393714643,2.5,2.5,0.689424326371041
4.04,0.00255605535227293,0.232443768608352,1.57079393714643,2.5,2.5,0.690497525799856
4.06,0.00260457149396509,0.231580811799926,1.57079393714643,2.5,2.5,0.691563916720003
4.08,0.00265358567996765,0.230724263956702,1.57079393714643,2.5,2.5,0.692623568489169
4.1,0.00270309665212462,0.229874054216355,1.57079393714643,2.5,2.5,0.693676549468419
4.12,0.00275310309345803,0.229030112770929,1.57079393714643,2.5,2.5,0.694722927039541
4.14,0.00280360362919472,0.228192370847422,1.57079393714643,2.5,2.5,0.695762767622035
4.16,0.00285459682779323,0.227360760688806,1.57079393714643,2.5,2.5,0.696796136689769
4.18,0.0029060812019703,0.22653521553546,1.57079393714643,2.5,2.5,0.697823098787304
4.2,0.00295805520972665,0.225715669607005,1.57079393714643,2.5,2.5,0.698843717545899
4.22,0.00301051725537124,0.224902058084538,1.57079393714643,2.5,2.5,0.699858055699203
4.24,0.00306346569054381,0.224094317093253,1.57079393714643,2.5,2.5,0.70086617509863
4.26,0.0031168988152351,0.223292383685429,1.57079393714643,2.5,2.5,0.701868136728449
4.28,0.00317081487880432,0.222496195823794,1.57079393714643,2.5,2.5,0.702864000720562
4.3,0.00322521208099352,0.221705692365237,1.57079393714643,2.5,2.5,0.70385382636901
4.32,0.00328008857293831,0.22092081304487,1.57079393714643,2.5,2.5,0.704837672144189
4.34,0.00333544245817476,0.220141498460437,1.57079393714643,2.5,2.5,0.705815595706797
4.36,0.00339127179364185,0.219367690057035,1.57079393714643,2.5,2.5,0.706787653921503
4.38,0.00344757459067934,0.218599330112178,1.57079393714643,2.5,2.5,0.70775390287036
4.4,0.00350434881602056,0.217836361721163,1.57079393714643,2.5,2.5,0.708714397865971
4.42,0.00356159239277987,0.217078728782741,1.57079393714643,2.5,2.5,0.709669193464373
4.44,0.00361930320143446,0.216326375985097,1.57079393714643,2.5,2.5,0.710618343477704
4.46,0.00367747908080019,0.215579248792115,1.57079393714643,2.5,2.5,0.711561900986628
4.48,0.00373611782900115,0.214837293429924,1.57079393714643,2.5,2.5,0.712499918352496
4.5,0.00379521720443276,0.21410045687373,1.57079393714643,2.5,2.5,0.713432447229312
4.52,0.00385477492671803,0.213368686834916,1.57079393714643,2.5,2.5,0.714359538575449
4.54,0.00391478867765687,0.212641931748402,1.57079393714643,2.5,2.5,0.715281242665155
4.56,0.00397525610216809,0.211920140760269,1.57079393714643,2.5,2.5,0.71619760909984
4.58,0.00403617480922393,0.211203263715633,1.57079393714643,2.5,2.5,0.717108686819146
4.6,0.00409754237277693,0.210491251146762,1.57079393714643,2.5,2.5,0.718014524111829
4.62,0.00415935633267894,0.209784054261437,1.57079393714643,2.5,2.5,0.718915168626408
4.64,0.00422161419559199,0.209081624931547,1.57079393714643,2.5,2.5,0.719810667381647
4.66,0.00428431343589102,0.208383915681909,1.57079393714643,2.5,2.5,0.720701066776815
4.68,0.00434745149655811,0.207690879679316,1.57079393714643,2.5,2.5,0.721586412601776
4.7,0.00441102579006824,0.207002470721803,1.57079393714643,2.5,2.5,0.722466750046882
4.72,0.00447503369926629,0.20631864322812,1.57079393714643,2.5,2.5,0.723342123712689
4.74,0.00453947257823523,0.205639352227423,1.57079393714643,2.5,2.5,0.724212577619489
4.76,0.00460433975315536,0.20496455334916,1.57079393714643,2.5,2.5,0.725078155216672
4.78,0.00466963252315443,0.204294202813159,1.57079393714643,2.5,2.5,0.725938899391912
4.8,0.00473534816114868,0.203628257419913,1.57079393714643,2.5,2.5,0.726794852480185
4.82,0.0048014839146745,0.202966674541049,1.57079393714643,2.5,2.5,0.727646056272634
4.84,0.00486803700671076,0.202309412109985,1.57079393714643,2.5,2.5,0.728492552025251
4.86,0.00493500463649172,0.20165642861277,1.57079393714643,2.5,2.5,0.729334380467424
4.88,0.0050023839803104,0.201007683079099,1.57079393714643,2.5,2.5,0.730171581810315
4.9,0.00507017219231233,0.2003631350735,1.57079393714643,2.5,2.5,0.731004195755082
4.92,0.00513836640527973,0.199722744686693,1.57079393714643,2.5,2.5,0.731832261500979
4.94,0.00520696373140591,0.199086472527113,1.57079393714643,2.5,2.5,0.732655817753276
4.96,0.00527596126305999,0.198454279712592,1.57079393714643,2.5,2.5,0.733474902731057
4.98,0.00534535607354183,0.197826127862204,1.57079393714643,2.5,2.5,0.734289554174877
5,0.00541514521782712,0.197201979088264,1.57079393714643,2.5,2.5,0.735099809354276
5.02,0.00548532573330265,0.196581795988471,1.57079393714643,2.5,2.5,0.735905705075158
5.04,0.00555589464049174,0.195965541638206,1.57079393714643,2.5,2.5,0.73670727768705
5.06,0.00562684894376977,0.195353179582977,1.57079393714643,2.5,2.5,0.737504563090219
